"","di_id","bundle","year","value"
"154","KR","gpgs-nngos","2016",3629171
"155","LT","gpgs-nngos","2016",65453
"156","LU","gpgs-nngos","2016",1187700
"157","NL","gpgs-nngos","2016",35184310
"158","NO","gpgs-nngos","2016",59209593
"159","NZ","gpgs-nngos","2016",1236270
"160","SE","gpgs-nngos","2016",19646377
"161","TH","gpgs-nngos","2016",103028
"162","US","gpgs-nngos","2016",805024990
"163","arab-fund-afesd","gpgs-nngos","2016",5414451
"164","AE","mixed-project-aid","2016",1403308036
"165","AT","mixed-project-aid","2016",11449843
"166","AU","mixed-project-aid","2016",261581555
"167","BE","mixed-project-aid","2016",181936802
"168","BG","mixed-project-aid","2016",3765517
"169","CA","mixed-project-aid","2016",173132101
"170","CH","mixed-project-aid","2016",718821489
"171","CZ","mixed-project-aid","2016",13720984
"172","DE","mixed-project-aid","2016",1561242559
"173","DK","mixed-project-aid","2016",421718535
"174","EE","mixed-project-aid","2016",3974281
"175","ES","mixed-project-aid","2016",198059761
"176","EU","mixed-project-aid","2016",3565135134
"177","FI","mixed-project-aid","2016",82867832
"178","FR","mixed-project-aid","2016",473370343
"179","GB","mixed-project-aid","2016",2309675176
"180","HR","mixed-project-aid","2016",3060740
"181","HU","mixed-project-aid","2016",7290620
"182","IE","mixed-project-aid","2016",30386609
"183","IL","mixed-project-aid","2016",248375830
"184","IS","mixed-project-aid","2016",5749599
"185","IT","mixed-project-aid","2016",89275301
"186","JP","mixed-project-aid","2016",902631296
"187","KR","mixed-project-aid","2016",240517967
"188","KW","mixed-project-aid","2016",804246163
"189","LI","mixed-project-aid","2016",18988700
"190","LT","mixed-project-aid","2016",2419913
"191","LU","mixed-project-aid","2016",45024744
"192","LV","mixed-project-aid","2016",655630
"193","MT","mixed-project-aid","2016",4279877
"194","NL","mixed-project-aid","2016",749850202
"195","NO","mixed-project-aid","2016",802400860
"196","NZ","mixed-project-aid","2016",104586518
"197","PL","mixed-project-aid","2016",7850423
"198","PT","mixed-project-aid","2016",15844937
"199","RO","mixed-project-aid","2016",10020217
"200","RU","mixed-project-aid","2016",352558316
"201","SE","mixed-project-aid","2016",274340314
"202","SI","mixed-project-aid","2016",586895
"203","SK","mixed-project-aid","2016",2602474
"204","TH","mixed-project-aid","2016",46002405
"205","TR","mixed-project-aid","2016",6781754073
"206","TW","mixed-project-aid","2016",294907000
"207","US","mixed-project-aid","2016",12427745406
"208","adaptation-fund","mixed-project-aid","2016",29589507
"209","afdb","mixed-project-aid","2016",12083442
"210","afdf","mixed-project-aid","2016",38858111
"211","arab-fund-afesd","mixed-project-aid","2016",4868011
"212","asdb-special-funds","mixed-project-aid","2016",72146508
"213","cardb","mixed-project-aid","2016",1204782
"214","ceb","mixed-project-aid","2016",2436092
"215","cif","mixed-project-aid","2016",13590898
"216","gavi","mixed-project-aid","2016",-95652788
"217","gef","mixed-project-aid","2016",830272360
"218","gggi","mixed-project-aid","2016",18822007
"219","global-fund","mixed-project-aid","2016",3433627896
"220","ida","mixed-project-aid","2016",118303329
"221","idb-special-fund","mixed-project-aid","2016",9629616
"222","ifad","mixed-project-aid","2016",141270037
"223","international-labour-organisation","mixed-project-aid","2016",185807245
"224","islamic-dev-bank","mixed-project-aid","2016",9097941
"225","nordic-dev-fund","mixed-project-aid","2016",11747212
"226","ofid","mixed-project-aid","2016",8708949
"227","osce","mixed-project-aid","2016",103782107
"228","unaids","mixed-project-aid","2016",186598329
"229","undp","mixed-project-aid","2016",357120493
"230","unece","mixed-project-aid","2016",11725750
"231","unep","mixed-project-aid","2016",62207875
"232","unfpa","mixed-project-aid","2016",258756359
"233","unhcr","mixed-project-aid","2016",506545570
"234","unicef","mixed-project-aid","2016",1118403141
"235","unpbf","mixed-project-aid","2016",53219536
"236","unrwa","mixed-project-aid","2016",621895480
"237","wfp","mixed-project-aid","2016",107350522
