"","di_id","bundle","year","value"
"154","IT","gpgs-nngos","2016",227653
"155","KR","gpgs-nngos","2016",3602275
"156","LT","gpgs-nngos","2016",65391
"157","LU","gpgs-nngos","2016",1166538
"158","NL","gpgs-nngos","2016",35272004
"159","NO","gpgs-nngos","2016",55900182
"160","NZ","gpgs-nngos","2016",1258094
"161","SE","gpgs-nngos","2016",19591261
"162","TH","gpgs-nngos","2016",102330
"163","US","gpgs-nngos","2016",815426582
"164","arab-fund-afesd","gpgs-nngos","2016",5377771
"165","AE","mixed-project-aid","2016",1393799850
"166","AT","mixed-project-aid","2016",11575062
"167","AU","mixed-project-aid","2016",259439362
"168","BE","mixed-project-aid","2016",184210069
"169","BG","mixed-project-aid","2016",3740000
"170","CA","mixed-project-aid","2016",167763936
"171","CH","mixed-project-aid","2016",696147722
"172","CZ","mixed-project-aid","2016",13928440
"173","DE","mixed-project-aid","2016",1577988568
"174","DK","mixed-project-aid","2016",421936593
"175","EE","mixed-project-aid","2016",4029642
"176","ES","mixed-project-aid","2016",198718384
"177","EU","mixed-project-aid","2016",3590554721
"178","FI","mixed-project-aid","2016",83620726
"179","FR","mixed-project-aid","2016",475564591
"180","GB","mixed-project-aid","2016",2070373685
"181","HR","mixed-project-aid","2016",3040000
"182","HU","mixed-project-aid","2016",7244405
"183","IE","mixed-project-aid","2016",30336076
"184","IL","mixed-project-aid","2016",255702393
"185","IS","mixed-project-aid","2016",6488718
"186","IT","mixed-project-aid","2016",90078058
"187","JP","mixed-project-aid","2016",1007717399
"188","KR","mixed-project-aid","2016",238735634
"189","KW","mixed-project-aid","2016",798797993
"190","LI","mixed-project-aid","2016",18860000
"191","LT","mixed-project-aid","2016",2417676
"192","LU","mixed-project-aid","2016",44222480
"193","LV","mixed-project-aid","2016",662667
"194","MT","mixed-project-aid","2016",4250879
"195","NL","mixed-project-aid","2016",751719275
"196","NO","mixed-project-aid","2016",757552519
"197","NZ","mixed-project-aid","2016",106432710
"198","PL","mixed-project-aid","2016",7531133
"199","PT","mixed-project-aid","2016",16037515
"200","RO","mixed-project-aid","2016",9952325
"201","RU","mixed-project-aid","2016",341057316
"202","SE","mixed-project-aid","2016",273570761
"203","SI","mixed-project-aid","2016",589693
"204","SK","mixed-project-aid","2016",2588340
"205","TH","mixed-project-aid","2016",45690730
"206","TR","mixed-project-aid","2016",6529139000
"207","TW","mixed-project-aid","2016",292909000
"208","US","mixed-project-aid","2016",12588319237
"209","adaptation-fund","mixed-project-aid","2016",29389033
"210","afdb","mixed-project-aid","2016",12001570
"211","afdf","mixed-project-aid","2016",39588260
"212","arab-fund-afesd","mixed-project-aid","2016",4835029
"213","asdb-special-funds","mixed-project-aid","2016",75646720
"214","cardb","mixed-project-aid","2016",1196620
"215","ceb","mixed-project-aid","2016",2419581
"216","cif","mixed-project-aid","2016",13498820
"217","gavi","mixed-project-aid","2016",-95005090
"218","gef","mixed-project-aid","2016",824646943
"219","gggi","mixed-project-aid","2016",18694474
"220","global-fund","mixed-project-aid","2016",3410362690
"221","ida","mixed-project-aid","2016",119493808
"222","idb-special-fund","mixed-project-aid","2016",9564370
"223","ifad","mixed-project-aid","2016",140312892
"224","international-labour-organisation","mixed-project-aid","2016",184548300
"225","islamic-dev-bank","mixed-project-aid","2016",9036300
"226","nordic-dev-fund","mixed-project-aid","2016",11667627
"227","ofid","mixed-project-aid","2016",8649940
"228","osce","mixed-project-aid","2016",103078848
"229","unaids","mixed-project-aid","2016",185334117
"230","undp","mixed-project-aid","2016",354700893
"231","unece","mixed-project-aid","2016",11646300
"232","unep","mixed-project-aid","2016",61786455
"233","unfpa","mixed-project-aid","2016",257003190
"234","unhcr","mixed-project-aid","2016",503113859
"235","unicef","mixed-project-aid","2016",1110825342
"236","unpbf","mixed-project-aid","2016",52858958
"237","unrwa","mixed-project-aid","2016",617683030
"238","wfp","mixed-project-aid","2016",106623141
"239","who","mixed-project-aid","2016",518863337
"240","world-tourism-organisation","mixed-project-aid","2016",10818182
"241","AE","non-transfer","2016",105547520
"242","AT","non-transfer","2016",792889868
"243","AU","non-transfer","2016",392285328
