"di_id","wb_wdi_country_code","year","value"
"AL","ALB",1988,2126200000
"AL","ALB",2010,11807797845.6056
"AL","ALB",2009,11852742895.4675
"AL","ALB",2012,12228015817.4084
"AL","ALB",2008,12946375571.2525
"AL","ALB",1995,2468099010.22142
"AL","ALB",1994,1990673623.72693
"AL","ALB",1993,1216071331.782
"AL","ALB",1992,680665058.474661
"AL","ALB",1991,1117466645.83333
"AL","ALB",2004,7487220642.52084
"AL","ALB",1986,2173850012.5
"AL","ALB",1985,1966784586.25474
"AL","ALB",1984,1927442453.03775
"AL","ALB",1987,2157024900
"AL","ALB",2006,9254605255.27148
"AL","ALB",1996,3385901343.45912
"AL","ALB",2005,8321693691.71816
"AD","AND",1998,
"AD","AND",1997,
"AD","AND",2009,
"AD","AND",1999,
"AD","AND",2008,
"AD","AND",2007,
"AD","AND",2006,
"AD","AND",1980,
"AD","AND",1979,
"AD","AND",1978,
"AD","AND",1977,
"AD","AND",2005,
"AD","AND",1988,
"AD","AND",1987,
"AD","AND",1982,
"AD","AND",1981,
"AD","AND",1971,
"AD","AND",1970,
"AD","AND",1969,
"AD","AND",1968,
"AD","AND",1967,
"AD","AND",1966,
"AD","AND",1965,
"AD","AND",1964,
"AD","AND",1976,
"AD","AND",1975,
"AD","AND",1974,
"AD","AND",1973,
"AD","AND",1972,
"AD","AND",1985,
"AD","AND",1984,
"AD","AND",1996,
"AD","AND",1995,
"AD","AND",1994,
"AD","AND",1993,
"AD","AND",1992,
"AD","AND",1991,
"AD","AND",1990,
"AD","AND",1989,
"AD","AND",2002,
"AD","AND",2001,
"AD","AND",2000,
"AD","AND",1986,
"AD","AND",2016,
"AD","AND",1983,
"AD","AND",2014,
"AD","AND",2017,
"AD","AND",2012,
"AD","AND",2011,
"AD","AND",2010,
"AD","AND",2013,
"AD","AND",1963,
"AD","AND",1962,
"AD","AND",1961,
"AD","AND",1960,
"AD","AND",2004,
"AD","AND",2015,
"AD","AND",2003,
"AE","ARE",1980,
"AE","ARE",2017,385352484683.458
"AE","ARE",2016,350839930102.11
"AE","ARE",1979,
"AE","ARE",2013,392006594853.642
"AE","ARE",2012,375115319237.577
"AE","ARE",2015,359691881851.6
"AE","ARE",2014,403856634554.118
"AE","ARE",2009,256161470388.019
"AE","ARE",2008,319278564002.723
"AE","ARE",2007,266289176310.415
"AE","ARE",2006,226854458815.521
"AE","ARE",2005,183503335602.451
"AE","ARE",2004,148532334921.715
"AE","ARE",2003,124291899251.191
"AE","ARE",2002,110737372362.151
"AE","ARE",2001,108376310415.248
"AE","ARE",2000,
"AE","ARE",1999,
"AE","ARE",2011,351018396841.389
"AE","ARE",2010,289780770565.01
"AE","ARE",1983,
"AE","ARE",1982,
"AE","ARE",1981,
"AE","ARE",1969,
"AE","ARE",1968,
"AE","ARE",1967,
"AE","ARE",1966,
"AE","ARE",1978,
"AE","ARE",1977,
"AE","ARE",1976,
"AE","ARE",1975,
"AE","ARE",1974,
"AE","ARE",1973,
"AE","ARE",1972,
"AE","ARE",1971,
"AE","ARE",1970,
"AE","ARE",1995,
"AE","ARE",1994,
"AE","ARE",1993,
"AE","ARE",1992,
"AE","ARE",1965,
"AE","ARE",1964,
"AE","ARE",1963,
"AE","ARE",1962,
"AE","ARE",1961,
"AE","ARE",1960,
"AE","ARE",1998,
"AE","ARE",1997,
"AE","ARE",1996,
"AE","ARE",1991,
"AE","ARE",1990,
"AE","ARE",1989,
"AE","ARE",1988,
"AE","ARE",1987,
"AE","ARE",1986,
"AE","ARE",1985,
"AE","ARE",1984,
"AR","ARG",1985,83672502113.7452
"AR","ARG",2008,352607328427.21
"AR","ARG",1984,74996801894.5786
"AR","ARG",1983,98072174234.6778
"AR","ARG",1982,79243829293.0471
"AR","ARG",1981,76842107526.2031
"AR","ARG",1980,76286574002.8188
"AR","ARG",1979,68626165140.837
"AR","ARG",1978,57716474115.782
"AR","ARG",1977,56339203223.2598
"AR","ARG",1989,70219462542.1818
"AR","ARG",1988,120715908148.068
"AR","ARG",1987,105942857983.875
"AR","ARG",1986,105922220616.456
"AR","ARG",2016,533326892168.422
"AR","ARG",2015,573534595397.431
"AR","ARG",2014,515582856210.202
"AR","ARG",2013,540245401945.429
"AR","ARG",2012,533144916319.983
"AR","ARG",2011,515152278873.993
"AR","ARG",2010,409147898256.259
"AR","ARG",1965,29078234021.4454
"AR","ARG",1964,26267861213.2167
"AR","ARG",1976,51185002820.9107
"AR","ARG",1975,53148109437.7931
"AR","ARG",1974,72679890116.6394
"AR","ARG",2017,621648946642.512
"AR","ARG",1972,34199500220.4044
"AR","ARG",1971,33634600190.9299
"AR","ARG",1970,30396317996.8419
"AR","ARG",1973,52722220653.6761
"AR","ARG",1968,26044571826.7842
"AR","ARG",1967,24344243038.8777
"AR","ARG",1966,29796191127.5341
"AR","ARG",1969,31036571602.8723
"AR","ARG",1991,183857364656.529
"AR","ARG",1990,135150027050.147
"AR","ARG",1993,233669800500.501
"AR","ARG",1992,224530580052.493
"AR","ARG",2005,191213061271.834
"AR","ARG",2004,155239777917.317
"AR","ARG",1960,
"AR","ARG",2003,119753080134.406
"AR","ARG",2002,90670371412.493
"AR","ARG",2001,2.6097e+11
"AR","ARG",2007,280035432908.065
"AR","ARG",2006,224919683049.636
"AR","ARG",2009,322732512860.878
"AR","ARG",1997,286641250000
"AR","ARG",1996,2.66648e+11
"AR","ARG",1995,253362750000
"AR","ARG",1963,18744951947.7684
"AR","ARG",1962,25083407626.9357
"AR","ARG",1961,
"AR","ARG",2000,2.76656e+11
"AR","ARG",1999,2.76059e+11
"AR","ARG",1998,2.91542e+11
"AR","ARG",1994,253743500000
"AM","ARM",2005,5106476299.62754
"AM","ARM",2004,3684033821.35158
"AM","ARM",1985,
"AM","ARM",1984,
"AM","ARM",1990,2173850349.42117
"AM","ARM",1998,1954126437.26462
"AM","ARM",1997,1738092424.36104
"AM","ARM",1982,
"AM","ARM",1981,
"AM","ARM",1980,
"AM","ARM",1989,
"AM","ARM",1988,
"AM","ARM",1987,
"AM","ARM",1986,
"AM","ARM",2012,11042374048.6953
"AM","ARM",2011,10502187334.5809
"AM","ARM",1996,1641664593.9332
"AM","ARM",1995,1466464585.93304
"AM","ARM",1994,1314624315.78065
"AM","ARM",1993,1102577587.37556
"AM","ARM",1992,1063305151.93599
"AM","ARM",1991,2066190377.00437
"AM","ARM",2017,12034267028.0106
"AM","ARM",2016,10770355935.0677
"AM","ARM",2015,10996222171.8649
"AM","ARM",2014,12150314315.4041
"AM","ARM",2013,11804057216.1366
"AM","ARM",2003,2901554573.66484
"AM","ARM",2002,2464539523.1534
"AM","ARM",2001,2182923204.69859
"AM","ARM",2000,1964463665.47966
"AM","ARM",1999,1900422181.5118
"AM","ARM",1971,
"AM","ARM",1983,
"AM","ARM",1970,
"AM","ARM",2008,12353321038.6398
"AM","ARM",2007,9703722479.09913
"AM","ARM",2006,6686478520.35524
"AM","ARM",1979,
"AM","ARM",1978,
"AM","ARM",1977,
"AM","ARM",1976,
"AM","ARM",1975,
"AM","ARM",1974,
"AM","ARM",1969,
"AM","ARM",1968,
"AM","ARM",1967,
"AM","ARM",2009,9006718256.24795
"AM","ARM",1965,
"AM","ARM",1964,
"AM","ARM",1963,
"AM","ARM",1966,
"AM","ARM",1961,
"AM","ARM",1960,
"AM","ARM",1973,
"AM","ARM",1962,
"AM","ARM",1972,
"AM","ARM",2010,9718566372.4156
"AS","ASM",1962,
"AS","ASM",1965,
"AS","ASM",1964,
"AS","ASM",2013,
"AS","ASM",2012,
"AS","ASM",2011,
"AS","ASM",1963,
"AS","ASM",2009,
"AS","ASM",2008,
"AS","ASM",2007,
"AS","ASM",1978,84700000
"AS","ASM",1977,79200000
"AS","ASM",2017,
"AS","ASM",2016,
"AS","ASM",2015,
"AS","ASM",2006,
"AS","ASM",2005,
"AS","ASM",2004,
"AS","ASM",2003,
"AS","ASM",2010,
"AS","ASM",1969,
"AS","ASM",1968,
"AS","ASM",1967,
"AS","ASM",1966,
"AS","ASM",1992,
