"","di_id","region_name","aid_type","year","value"
"122","FI","south-of-sahara","bilateral",2016,183361132.725186
"123","FI","north-central-america","bilateral",2016,5141010.88646967
"124","FI","south-america","bilateral",2016,8028989.11353033
"125","FI","far-east-asia","bilateral",2016,23383733.5692619
"126","FI","south-central-asia","bilateral",2016,89632469.6663296
"127","FI","europe","bilateral",2016,21430000
"128","FI","middle-east","bilateral",2016,50783796.7644085
"129","FI","oceania","bilateral",2016,1360000
"130","IS","unspecified","bilateral",2016,25970000
"131","IS","north-of-sahara","bilateral",2016,140000
"132","IS","south-of-sahara","bilateral",2016,14540000
"133","IS","north-central-america","bilateral",2016,170000
"134","IS","south-america","bilateral",2016,1e+05
"135","IS","south-central-asia","bilateral",2016,640000
"136","IS","europe","bilateral",2016,410000
"137","IS","middle-east","bilateral",2016,5700000
"138","IE","unspecified","bilateral",2016,105960000
"139","IE","north-of-sahara","bilateral",2016,150191.463901077
"140","IE","south-of-sahara","bilateral",2016,250869808.536099
"141","IE","north-central-america","bilateral",2016,8220000
"142","IE","south-america","bilateral",2016,3110000
"143","IE","far-east-asia","bilateral",2016,13690000
"144","IE","south-central-asia","bilateral",2016,8160000
"145","IE","europe","bilateral",2016,7200000
"146","IE","middle-east","bilateral",2016,29630000
"147","LU","unspecified","bilateral",2016,57050000
"148","LU","north-of-sahara","bilateral",2016,955624.572210815
"149","LU","south-of-sahara","bilateral",2016,121784375.427789
"150","LU","north-central-america","bilateral",2016,19170000
"151","LU","south-america","bilateral",2016,5470000
"152","LU","far-east-asia","bilateral",2016,26423601.7167382
"153","LU","south-central-asia","bilateral",2016,13206798.2832618
"154","LU","europe","bilateral",2016,13110000
"155","LU","middle-east","bilateral",2016,18649600
"156","GR","unspecified","bilateral",2016,148250000
"157","GR","north-of-sahara","bilateral",2016,610000
"158","GR","south-of-sahara","bilateral",2016,2e+05
"159","GR","north-central-america","bilateral",2016,40000
"160","GR","south-america","bilateral",2016,110000
"161","GR","far-east-asia","bilateral",2016,12083.3333333333
"162","GR","south-central-asia","bilateral",2016,120833.333333333
"163","GR","europe","bilateral",2016,9360000
"164","GR","middle-east","bilateral",2016,447083.333333333
"165","MT","unspecified","bilateral",2016,7740000
"166","MT","north-of-sahara","bilateral",2016,693103.448275862
"167","MT","south-of-sahara","bilateral",2016,1106896.55172414
"168","MT","north-central-america","bilateral",2016,40000
"169","MT","south-america","bilateral",2016,30000
"170","MT","far-east-asia","bilateral",2016,40000
"171","MT","south-central-asia","bilateral",2016,80000
"172","MT","europe","bilateral",2016,360000
"173","MT","middle-east","bilateral",2016,540000
"174","ES","unspecified","bilateral",2016,208530000
"175","ES","north-of-sahara","bilateral",2016,38735106.2629302
"176","ES","south-of-sahara","bilateral",2016,230064893.73707
"177","ES","north-central-america","bilateral",2016,2239129653.10953
"178","ES","south-america","bilateral",2016,97340346.890467
"179","ES","far-east-asia","bilateral",2016,9193542.10830603
"180","ES","south-central-asia","bilateral",2016,9633711.69782232
"181","ES","europe","bilateral",2016,73910000
"182","ES","middle-east","bilateral",2016,84992746.1938716
"183","ES","oceania","bilateral",2016,20000
"184","TR","unspecified","bilateral",2016,198100000
"185","TR","north-of-sahara","bilateral",2016,19532147.7048821
"186","TR","south-of-sahara","bilateral",2016,124287852.295118
"187","TR","north-central-america","bilateral",2016,2135772.87066246
