"di_id","donor_code","region_name","aid_type","year","value"
"GB",12,"europe","bilateral",2016,210990000
"GB",12,"middle-east","bilateral",2016,1329715130.25034
"GB",12,"oceania","bilateral",2016,7760000
"FI",18,"unspecified","bilateral",2016,250250000
"FI",18,"north-of-sahara","bilateral",2016,5428867.27481423
"FI",18,"south-of-sahara","bilateral",2016,183361132.725186
"FI",18,"north-central-america","bilateral",2016,5141010.88646967
"FI",18,"south-america","bilateral",2016,8028989.11353033
"FI",18,"far-east-asia","bilateral",2016,23383733.5692619
"FI",18,"south-central-asia","bilateral",2016,89632469.6663296
"FI",18,"europe","bilateral",2016,21430000
"FI",18,"middle-east","bilateral",2016,50783796.7644085
"FI",18,"oceania","bilateral",2016,1360000
"IS",20,"unspecified","bilateral",2016,25970000
"IS",20,"north-of-sahara","bilateral",2016,140000
"IS",20,"south-of-sahara","bilateral",2016,14540000
"IS",20,"north-central-america","bilateral",2016,170000
"IS",20,"south-america","bilateral",2016,100000
"IS",20,"south-central-asia","bilateral",2016,640000
"IS",20,"europe","bilateral",2016,410000
"IS",20,"middle-east","bilateral",2016,5700000
"IE",21,"unspecified","bilateral",2016,105960000
"IE",21,"north-of-sahara","bilateral",2016,150191.463901077
"IE",21,"south-of-sahara","bilateral",2016,250869808.536099
"IE",21,"north-central-america","bilateral",2016,8220000
"IE",21,"south-america","bilateral",2016,3110000
"IE",21,"far-east-asia","bilateral",2016,13690000
"IE",21,"south-central-asia","bilateral",2016,8160000
"IE",21,"europe","bilateral",2016,7200000
"IE",21,"middle-east","bilateral",2016,29630000
"LU",22,"unspecified","bilateral",2016,57050000
"LU",22,"north-of-sahara","bilateral",2016,955624.572210815
"LU",22,"south-of-sahara","bilateral",2016,121784375.427789
"LU",22,"north-central-america","bilateral",2016,19170000
"LU",22,"south-america","bilateral",2016,5470000
"LU",22,"far-east-asia","bilateral",2016,26423601.7167382
"LU",22,"south-central-asia","bilateral",2016,13206798.2832618
"LU",22,"europe","bilateral",2016,13110000
"LU",22,"middle-east","bilateral",2016,18649600
"GR",40,"unspecified","bilateral",2016,148250000
"GR",40,"north-of-sahara","bilateral",2016,610000
"GR",40,"south-of-sahara","bilateral",2016,200000
"GR",40,"north-central-america","bilateral",2016,40000
"GR",40,"south-america","bilateral",2016,110000
"GR",40,"far-east-asia","bilateral",2016,12083.3333333333
"GR",40,"south-central-asia","bilateral",2016,120833.333333333
"GR",40,"europe","bilateral",2016,9360000
"GR",40,"middle-east","bilateral",2016,447083.333333333
"MT",45,"unspecified","bilateral",2016,7740000
"MT",45,"north-of-sahara","bilateral",2016,693103.448275862
"MT",45,"south-of-sahara","bilateral",2016,1106896.55172414
"MT",45,"north-central-america","bilateral",2016,40000
"MT",45,"south-america","bilateral",2016,30000
"MT",45,"far-east-asia","bilateral",2016,40000
"MT",45,"south-central-asia","bilateral",2016,80000
"MT",45,"europe","bilateral",2016,360000
"MT",45,"middle-east","bilateral",2016,540000
"ES",50,"unspecified","bilateral",2016,208530000
"ES",50,"north-of-sahara","bilateral",2016,38735106.2629302
"ES",50,"south-of-sahara","bilateral",2016,230064893.73707
"ES",50,"north-central-america","bilateral",2016,2239129653.10953
"ES",50,"south-america","bilateral",2016,97340346.890467
"ES",50,"far-east-asia","bilateral",2016,9193542.10830603
"ES",50,"south-central-asia","bilateral",2016,9633711.69782232
