"id","year","budget_type","conditional_grants_percent"
"d18972",2017,"actual",7.70962147170338
"d18973",2013,"actual",7.72219524040797
"d18973",2014,"actual",0.555374174055257
"d18973",2015,"actual",3.48570312429069
"d18973",2016,"actual",5.30707830190552
"d18973",2017,"actual",7.37356712279936
"d18974",2013,"actual",10.1107264607172
"d18974",2014,"actual",0.574150425904171
"d18974",2015,"actual",2.83807400978203
"d18974",2016,"actual",6.61429819880706
"d18974",2017,"actual",8.8444019393135
"d18975",2013,"actual",7.03756292758487
"d18975",2014,"actual",0.288371780693319
"d18975",2015,"actual",2.74186105810952
"d18975",2016,"actual",3.3812133499054
"d18975",2017,"actual",6.05181028035122
"d18976",2013,"actual",23.2257058181251
"d18976",2014,"actual",0.610474353715385
"d18976",2015,"actual",3.79736543038764
"d18976",2016,"actual",3.1381814795839
"d18976",2017,"actual",7.73832644684729
"d18977",2013,"actual",7.96730846369836
"d18977",2014,"actual",0.464421731578869
"d18977",2015,"actual",3.24978968144082
"d18977",2016,"actual",5.19229143715708
"d18977",2017,"actual",5.48529483596465
"d18978",2013,"actual",7.61892400545136
"d18978",2014,"actual",0.272607886323283
"d18978",2015,"actual",3.59957937310623
"d18978",2016,"actual",4.97359707537098
"d18978",2017,"actual",6.37602784447126
"d18979",2013,"actual",10.9919571045576
"d18979",2014,"actual",0.237266631937261
"d18979",2015,"actual",6.52702263356906
"d18979",2016,"actual",6.86940452122816
"d18979",2017,"actual",7.63311824214897
"d18980",2013,"actual",10.1227905134426
"d18980",2014,"actual",0.356059409406967
"d18980",2015,"actual",2.18143791447241
"d18980",2016,"actual",3.14004177766115
"d18980",2017,"actual",6.32654131581047
"d18981",2013,"actual",4.9094879199831
"d18981",2014,"actual",0.246789205998946
"d18981",2015,"actual",2.30025756314921
"d18981",2016,"actual",3.49892842602669
"d18981",2017,"actual",5.50943107239689
"d18982",2013,"actual",6.87855314338907
"d18982",2014,"actual",0.291437095979586
"d18982",2015,"actual",2.10650179459019
"d18982",2016,"actual",2.72480520369052
"d18982",2017,"actual",4.91269560627685
"d18983",2013,"actual",4.71573703233369
"d18983",2014,"actual",0.204795317600131
"d18983",2015,"actual",2.71076185192787
"d18983",2016,"actual",4.31302251441279
"d18983",2017,"actual",6.08871823088938
"d18984",2013,"actual",2.85370423216745
"d18984",2014,"actual",0.341889919684559
"d18984",2015,"actual",1.74350855137738
"d18984",2016,"actual",2.09373623145141
"d18984",2017,"actual",8.00145059199763
"d18985",2013,"actual",5.59164253206454
"d18985",2014,"actual",0.302688730383268
"d18985",2015,"actual",2.2190442122344
"d18985",2016,"actual",2.3926427104471
"d18985",2017,"actual",5.26749516321307
"d18986",2013,"actual",11.8429951037412
"d18986",2014,"actual",0.25227684080773
"d18986",2015,"actual",2.91584669508226
"d18986",2016,"actual",2.87942119137125
"d18986",2017,"actual",6.85254550575735
"d18987",2013,"actual",4.9811680288211
"d18987",2014,"actual",0.17116384227045
"d18987",2015,"actual",1.25137998669734
"d18987",2016,"actual",2.1085039918246
"d18987",2017,"actual",3.96147744858887
"d18988",2013,"actual",6.66766781799069
"d18988",2014,"actual",0.101567563961472
"d18988",2015,"actual",2.55336150730984
"d18988",2016,"actual",3.30938422868575
"d18988",2017,"actual",13.7994487119378
"d18989",2013,"actual",10.5537352967022
"d18989",2014,"actual",0.247654522181706
