"district_id","value","year"
"d18943",1831800,2015
"d18949",1353042,2015
"d18944",596030,2015
"d18969",1317407,2015
"d18970",1107755,2015
"d18957",1086599,2015
"d18950",792698,2015
"d18978",487934,2015
"d18951",123842,2015
"d18958",1179215,2015
"d18959",949298,2015
"d18966",697922,2015
"d18960",312698,2015
"d18961",1455849,2015
"d18971",1048602,2015
"d18952",1145259,2015
"d18946",1063721,2015
"d18964",4232087,2015
"d18979",1959880,2015
"d18980",920445,2015
"d18981",1039837,2015
"d18962",392094,2015
"d18972",683979,2015
"d18947",673000,2015
"d18948",782864,2015
"d18982",273804,2015
"d18973",963007,2015
"d18953",347195,2015
"d18954",292885,2015
"d18983",1001005,2015
"d18984",1045579,2015
"d18985",1092803,2015
"d18990",615734,2015
"d18967",450385,2015
"d18986",626832,2015
