"id","year","budget_type","equitable_revenue_percent"
"d18973",2013,"actual",89.8494414764449
"d18973",2014,"actual",96.2795784843309
"d18973",2015,"actual",94.1064558393814
"d18973",2016,"actual",91.7508164585135
"d18973",2017,"actual",90.3499284063736
"d18974",2013,"actual",84.5643614069396
"d18974",2014,"actual",93.3989974043354
"d18974",2015,"actual",91.4113065174627
"d18974",2016,"actual",88.0803124055763
"d18974",2017,"actual",85.9534407778257
"d18975",2013,"actual",87.7759132567445
"d18975",2014,"actual",94.9768633309737
"d18975",2015,"actual",93.9280353749063
"d18975",2016,"actual",92.3092546659868
"d18975",2017,"actual",90.8108839621685
"d18976",2013,"actual",74.8713149274684
"d18976",2014,"actual",95.1173395854047
"d18976",2015,"actual",92.5772381821188
"d18976",2016,"actual",94.2629392693259
"d18976",2017,"actual",89.6493799007495
"d18977",2013,"actual",82.7316486161252
"d18977",2014,"actual",90.0362605236977
"d18977",2015,"actual",88.2499485988566
"d18977",2016,"actual",86.1246975583052
"d18977",2017,"actual",87.5687780406614
"d18978",2013,"actual",81.1214225452658
"d18978",2014,"actual",88.050889486237
"d18978",2015,"actual",83.926644695107
"d18978",2016,"actual",84.5138914689386
"d18978",2017,"actual",85.7479612089318
"d18979",2013,"actual",69.7050938337802
"d18979",2014,"actual",76.9457346579754
"d18979",2015,"actual",72.8724769824703
"d18979",2016,"actual",79.1424786032204
"d18979",2017,"actual",74.1421106119439
"d18980",2013,"actual",86.6465316631183
"d18980",2014,"actual",92.9822437622713
"d18980",2015,"actual",93.0375500575243
"d18980",2016,"actual",92.4495771315524
"d18980",2017,"actual",90.1745639044001
"d18981",2013,"actual",68.6764809466789
"d18981",2014,"actual",73.6707945696401
"d18981",2015,"actual",73.3829604936637
"d18981",2016,"actual",76.0665574437936
"d18981",2017,"actual",70.7450184969822
"d18982",2013,"actual",86.4390438511919
"d18982",2014,"actual",93.0838576009131
"d18982",2015,"actual",93.4993919829356
"d18982",2016,"actual",92.7315081760678
"d18982",2017,"actual",89.4725123744451
"d18983",2013,"actual",90.3585034678128
"d18983",2014,"actual",92.9015630677689
"d18983",2015,"actual",90.7919185974398
"d18983",2016,"actual",92.0405999661288
"d18983",2017,"actual",89.9920422856227
"d18984",2013,"actual",95.5370547290842
"d18984",2014,"actual",98.2973848982973
"d18984",2015,"actual",97.0158735182913
"d18984",2016,"actual",96.3195313309555
"d18984",2017,"actual",90.7024421521221
"d18985",2013,"actual",82.7472072817542
"d18985",2014,"actual",83.4723941886923
"d18985",2015,"actual",85.8824717486693
"d18985",2016,"actual",87.2795734807739
"d18985",2017,"actual",82.8464326730384
"d18986",2013,"actual",86.5636919414613
"d18986",2014,"actual",97.126583710976
"d18986",2015,"actual",94.9191786692185
"d18986",2016,"actual",95.4130160327536
"d18986",2017,"actual",91.4418673384473
"d18987",2013,"actual",92.2989891771992
"d18987",2014,"actual",92.8463525977949
"d18987",2015,"actual",91.2514080690805
"d18987",2016,"actual",90.6565950532957
"d18987",2017,"actual",89.340530982773
"d18988",2013,"actual",85.0978625419232
"d18988",2014,"actual",93.6941093908154
"d18988",2015,"actual",91.8062564426011
"d18988",2016,"actual",92.6375079751327
"d18988",2017,"actual",83.6704239023605
"d18989",2013,"actual",85.3638634680325
"d18989",2014,"actual",93.6912704655224
"d18989",2015,"actual",86.9723416809268
"d18989",2016,"actual",88.4596024261687
"d18989",2017,"actual",87.1883092315984
"d18990",2013,"actual",89.7349613819184
"d18990",2014,"actual",96.0438102293461
"d18990",2015,"actual",93.7834357713929
"d18990",2016,"actual",93.1490230606229
"d18990",2017,"actual",90.3146127598412
"d18991",2013,"actual",81.4829904257486
"d18991",2014,"actual",82.8454697059926
"d18991",2015,"actual",84.7469844898479
"d18991",2016,"actual",85.4250802485492
"d18991",2017,"actual",85.3579014751224
