"district_id","value","year"
"d18974",70,2016
"d18975",55,2016
"d18987",115,2016
"d18988",149,2016
"d18976",42,2016
"d18955",49,2016
"d18965",129,2016
"d18968",170,2016
"d18956",60,2016
"d18991",53,2016
"d18989",113,2016
"d18977",69,2016
"d18943",58,2016
"d18949",72,2016
"d18944",72,2016
"d18969",101,2016
"d18970",182,2016
"d18957",57,2016
"d18950",77,2016
"d18978",53,2016
"d18951",106,2016
"d18958",56,2016
"d18959",61,2016
"d18966",155,2016
"d18960",51,2016
"d18961",48,2016
"d18971",173,2016
"d18952",115,2016
"d18946",50,2016
"d18964",56,2016
"d18979",80,2016
"d18980",49,2016
"d18981",58,2016
"d18962",59,2016
"d18972",75,2016
"d18947",60,2016
"d18948",50,2016
"d18982",60,2016
"d18973",227,2016
"d18953",78,2016
"d18954",112,2016
"d18983",63,2016
"d18984",121,2016
"d18985",61,2016
"d18990",94,2016
"d18967",158,2016
"d18986",104,2016
