"id","year","donor_percent"
"d18943",2016,0.16676828011424
"d18943",2017,0.0763468160859917
"d18944",2016,0.299575506035596
"d18944",2017,0.126644285083651
"d18946",2016,0.371488060359066
"d18946",2017,0.174584376151755
"d18947",2016,0.366934881972962
"d18947",2017,0.167057719942216
"d18948",2016,0.382704420402439
"d18948",2017,0.179321460858615
"d18949",2016,0.919862614329813
"d18949",2017,0
"d18950",2016,0.971660030830879
"d18950",2017,1.50529588224156
"d18951",2016,0.447496536223643
"d18951",2017,0.367209703803999
"d18952",2016,0
"d18952",2017,0.0262116080019234
"d18953",2016,0.382188901759087
"d18953",2017,0.780434882285613
"d18954",2016,0.393366852591403
"d18954",2017,0.0817897578451925
"d18955",2016,0.135884274904987
"d18955",2017,0.135456994346305
"d18956",2016,0.477415107383142
"d18956",2017,0.640292302694938
"d18957",2016,0.975657629623541
"d18957",2017,1.5677271975258
"d18958",2016,0
"d18958",2017,0.142692587779892
"d18959",2016,0.175551222720188
"d18959",2017,0.158032154864506
"d18960",2016,0.303908787827754
"d18960",2017,0.109151356692059
"d18961",2016,0
"d18961",2017,0.114053433195029
"d18962",2016,0.735293024576862
"d18962",2017,0.150861239950158
"d18964",2016,0
"d18964",2017,0
"d18965",2016,0
"d18965",2017,0.118639532891648
"d18966",2016,0.13629749525928
"d18966",2017,0.487715773442211
"d18967",2016,0
"d18967",2017,0.753897057452592
"d18968",2016,0.384454701151602
"d18968",2017,0.173118735907426
"d18969",2016,0.266213060336646
"d18969",2017,0.131198562493103
"d18970",2016,0.21166063981463
"d18970",2017,0.101891672675976
"d18971",2016,0.148997504051691
"d18971",2017,0.416905111060099
"d18972",2016,0.492144605992852
"d18972",2017,0.342032393404673
"d18973",2016,0.468627082950441
"d18973",2017,0.224894532461796
"d18974",2016,0.555499912641707
"d18974",2017,1.79037354626128
"d18975",2016,0.320806522133074
"d18975",2017,0.152389311944134
"d18976",2016,1.09428099796563
"d18976",2017,0.257556229549114
"d18977",2016,0.353182144513791
"d18977",2017,0.237626770296163
"d18978",2016,0.69008536739317
"d18978",2017,1.25410539658365
"d18979",2016,0.228212215698327
"d18979",2017,0.101015626432454
"d18980",2016,0.329971102783377
"d18980",2017,0.161872182851918
"d18981",2016,0.746376118598692
"d18981",2017,0.0970573911741574
"d18982",2016,0.476003131103828
"d18982",2017,0.771286968932163
"d18983",2016,0
"d18983",2017,0.0902309592120447
"d18984",2016,0.102791931314291
"d18984",2017,0.0543584149342658
"d18985",2016,0.269462069997683
"d18985",2017,0.125648004719529
"d18986",2016,0.574117517520175
"d18986",2017,0.11748543715003
"d18987",2016,0
"d18987",2017,0
"d18988",2016,0
"d18988",2017,0.279642917622212
"d18989",2016,0
"d18989",2017,0.103064651254656
"d18990",2016,0.315770731284456
"d18990",2017,0.145097286032534
"d18991",2016,0.888953018477704
"d18991",2017,1.61633263637981
