"district_id","value","year"
"d18974",48.4,2016
"d18975",27.8,2016
"d18987",75.7,2016
"d18988",74.9,2016
"d18976",44.2,2016
"d18955",65.9,2016
"d18965",59.8,2016
"d18968",33.9,2016
"d18956",75,2016
"d18991",87.3,2016
"d18989",89.9,2016
"d18977",66.4,2016
"d18943",93.2,2016
"d18949",78.4,2016
"d18944",63.7,2016
"d18969",89.4,2016
"d18970",79.9,2016
"d18957",53.2,2016
"d18950",60.6,2016
"d18978",64.2,2016
"d18951",75,2016
"d18958",68.4,2016
"d18959",53.1,2016
"d18966",32.8,2016
"d18960",42.9,2016
"d18961",70.2,2016
"d18971",60.9,2016
"d18952",82.6,2016
"d18946",67.8,2016
"d18964",97.1,2016
"d18979",72.3,2016
"d18980",44.8,2016
"d18981",34.5,2016
"d18962",59.3,2016
"d18972",83.6,2016
"d18947",81.9,2016
"d18948",82.7,2016
"d18982",42,2016
"d18973",57.1,2016
"d18953",79.9,2016
"d18954",67.2,2016
"d18983",79.8,2016
"d18984",63.3,2016
"d18985",69.3,2016
"d18990",88.3,2016
"d18967",44.7,2016
"d18986",37.2,2016
