"district_id","value","year"
"d18974",71.3,2016
"d18975",30.6,2016
"d18987",39.3,2016
"d18988",61.6,2016
"d18976",72.9,2016
"d18955",98.4,2016
"d18965",45.1,2016
"d18968",25.1,2016
"d18956",70.7,2016
"d18991",84.3,2016
"d18989",32.4,2016
"d18977",79,2016
"d18943",90.3,2016
"d18949",70,2016
"d18944",87,2016
"d18969",41.3,2016
"d18970",96.3,2016
"d18957",56.8,2016
"d18950",33.7,2016
"d18978",42.3,2016
"d18951",70,2016
"d18958",83.5,2016
"d18959",88,2016
"d18966",40.9,2016
"d18960",26,2016
"d18961",48.7,2016
"d18971",37.9,2016
"d18952",86.3,2016
"d18946",65.6,2016
"d18964",91.9,2016
"d18979",62.1,2016
"d18980",71,2016
"d18981",42.1,2016
"d18962",96.3,2016
"d18972",40.4,2016
"d18947",81.8,2016
"d18948",55.2,2016
"d18982",31.5,2016
"d18973",43.7,2016
"d18953",98.8,2016
"d18954",60.6,2016
"d18983",36.1,2016
"d18984",31.9,2016
"d18985",83.2,2016
"d18990",43.2,2016
"d18967",6.2,2016
"d18986",27.3,2016
