"district_id","year","budget_type","percentage_of_revenue"
"d18980",2018,"actual",4.89235933737138
"d18981",2015,"actual",1.89172832516643
"d18981",2016,"actual",4.09040047521032
"d18981",2017,"actual",2.9012364675643
"d18981",2018,"actual",6.11425807648156
"d18982",2015,"actual",6.44019471064512
"d18982",2016,"actual",6.89819076835661
"d18982",2017,"actual",4.86861366417893
"d18982",2018,"actual",6.65789429665851
"d18983",2015,"actual",7.99482801183984
"d18983",2016,"actual",9.53606846004279
"d18983",2017,"actual",6.92737374342986
"d18983",2018,"actual",6.00376258246959
"d18984",2015,"actual",
"d18984",2016,"actual",
"d18984",2017,"actual",
"d18984",2018,"actual",2.43922728093776
"d18985",2015,"actual",7.45954379888288
"d18985",2016,"actual",2.61557889594173
"d18985",2017,"actual",8.48717566492395
"d18985",2018,"actual",5.45152719306121
"d18986",2015,"actual",2.61923116010103
"d18986",2016,"actual",6.3556458619691
"d18986",2017,"actual",5.01362375132959
"d18986",2018,"actual",3.71255584026849
"d18987",2015,"actual",9.14378725470849
"d18987",2016,"actual",8.74491539556591
"d18987",2017,"actual",7.73008514604956
"d18987",2018,"actual",7.29391399459135
"d18988",2015,"actual",6.10131973437194
"d18988",2016,"actual",6.53809041593786
"d18988",2017,"actual",6.17965110347876
"d18988",2018,"actual",4.84191968927974
"d18989",2015,"actual",5.76456902297093
"d18989",2016,"actual",4.51095065289413
"d18989",2017,"actual",3.64477294857042
"d18989",2018,"actual",2.4162786065877
"d18990",2015,"actual",5.76140843302698
"d18990",2016,"actual",3.42782091140335
"d18990",2017,"actual",2.81920414759679
"d18990",2018,"actual",5.84649845862689
"d18991",2015,"actual",3.96599191712405
"d18991",2016,"actual",4.85161516239167
"d18991",2017,"actual",4.8781981505005
"d18991",2018,"actual",5.02871110562273
