"district_id","year","budget_type","percentage_of_revenue"
"d18980",2016,"actual",26.2111079966364
"d18980",2017,"actual",23.4276937644574
"d18980",2018,"actual",29.6871383742872
"d18981",2015,"actual",11.6256369209144
"d18981",2016,"actual",19.294367928829
"d18981",2017,"actual",20.7397664613693
"d18981",2018,"actual",25.2056773868214
"d18982",2015,"actual",16.7094144668303
"d18982",2016,"actual",19.0962310178191
"d18982",2017,"actual",16.5033236543399
"d18982",2018,"actual",21.5407218248016
"d18983",2015,"actual",30.1128989286945
"d18983",2016,"actual",30.2574564109103
"d18983",2017,"actual",33.3411608742864
"d18983",2018,"actual",38.9951579881334
"d18984",2015,"actual",11.3994233754713
"d18984",2016,"actual",8.47384391883047
"d18984",2017,"actual",17.6011465916331
"d18984",2018,"actual",7.55250173500528
"d18985",2015,"actual",16.9523266040267
"d18985",2016,"actual",9.38473517418169
"d18985",2017,"actual",27.8193152571961
"d18985",2018,"actual",28.6393783183158
"d18986",2015,"actual",12.722865166729
"d18986",2016,"actual",24.3282566622688
"d18986",2017,"actual",24.8210386523206
"d18986",2018,"actual",27.4711444703962
"d18987",2015,"actual",22.6722761288553
"d18987",2016,"actual",18.5369632313311
"d18987",2017,"actual",25.798564841751
"d18987",2018,"actual",26.6435088093324
"d18988",2015,"actual",26.174931851751
"d18988",2016,"actual",20.7810384978639
"d18988",2017,"actual",22.7898119495358
"d18988",2018,"actual",27.8320857235333
"d18989",2015,"actual",23.2989506216535
"d18989",2016,"actual",27.5369507192953
"d18989",2017,"actual",17.0924803045056
"d18989",2018,"actual",12.7378863608342
"d18990",2015,"actual",20.9065703674545
"d18990",2016,"actual",20.3248599311709
"d18990",2017,"actual",23.8419589220121
"d18990",2018,"actual",33.7135633441513
"d18991",2015,"actual",10.9643859308544
"d18991",2016,"actual",24.7311953466204
"d18991",2017,"actual",30.0544656068559
"d18991",2018,"actual",31.7385745780503
