"district_id","year","value"
"d18964","2015",4232087
"d18979","2015",1959880
"d18980","2015",920445
"d18981","2015",1039837
"d18962","2015",392094
"d18972","2015",683979
"d18947","2015",673000
"d18948","2015",782864
"d18982","2015",273804
"d18973","2015",963007
"d18953","2015",347195
"d18954","2015",292885
"d18983","2015",1001005
"d18984","2015",1045579
"d18985","2015",1092803
"d18990","2015",615734
"d18967","2015",450385
"d18986","2015",626832
"d18974","2020",804346
"d18975","2020",1015048
"d18987","2020",1662709
"d18988","2020",899525
"d18976","2020",535665
"d18955","2020",582297
"d18965","2020",463891
"d18968","2020",1225243
"d18956","2020",161773
"d18991","2020",994853
"d18989","2020",2007597
"d18977","2020",1045996
"d18943","2020",2015014
"d18949","2020",1591901
"d18944","2020",655639
"d18969","2020",1464861
"d18970","2020",1231745
"d18957","2020",1141592
"d18950","2020",932641
"d18978","2020",577791
"d18951","2020",145698
"d18958","2020",1239309
"d18959","2020",997546
"d18966","2020",763716
"d18960","2020",328774
"d18961","2020",1530043
"d18971","2020",1165974
"d18952","2020",1347440
"d18946","2020",1170109
"d18964","2020",5433002
"d18979","2020",2320819
"d18980","2020",1089953
"d18981","2020",1231331
"d18962","2020",412033
"d18972","2020",760541
"d18947","2020",740314
"d18948","2020",861162
"d18982","2020",324230
"d18973","2020",1070797
"d18953","2020",408492
"d18954","2020",344595
"d18983","2020",1185347
"d18984","2020",1238136
"d18985","2020",1294058
"d18990","2020",670601
"d18967","2020",492839
"d18986","2020",742267
"d18974","2025",938163
"d18975","2025",1232590
"d18987","2025",1811108
"d18988","2025",979809
"d18976","2025",624778
"d18955","2025",610543
"d18965","2025",508772
"d18968","2025",1348840
"d18956","2025",169674
"d18991","2025",1160358
"d18989","2025",2186771
"d18977","2025",1270170
"d18943","2025",2201180
"d18949","2025",1841958
"d18944","2025",716215
"d18969","2025",1612630
"d18970","2025",1355998
"d18957","2025",1196663
"d18950","2025",1079131
"d18978","2025",673915
"d18951","2025",168588
"d18958","2025",1299458
"d18959","2025",1045847
"d18966","2025",837598
"d18960","2025",344855
"d18961","2025",1604305
"d18971","2025",1283587
"d18952","2025",1559091
"d18946","2025",1278221
"d18964","2025",6723898
"d18979","2025",2706920
"d18980","2025",1271285
"d18981","2025",1436181
"d18962","2025",431994
"d18972","2025",837262
"d18947","2025",808712
"d18948","2025",940725
"d18982","2025",378173
"d18973","2025",1178811
"d18953","2025",472656
"d18954","2025",398714
"d18983","2025",1382548
"d18984","2025",1444117
"d18985","2025",1509347
"d18990","2025",730460
"d18967","2025",540522
"d18986","2025",865754
